Baby, salesrank:reviewrank:relevancerank:-price:price
Beauty, salesrank:reviewrank_authority:reviewrank:relevancerank:-price:price
Books, titlerank:daterank:inverse-pricerank:price:salesrank
Classical, orig-rel-date:titlerank:salesrank
DVD, titlerank:salesrank
Electronics, -titlerank:titlerank:-price:price:relevancerank:salesrank
ForeignBooks, titlerank:daterank:inverse-pricerank:pricerank:salesrank
HealthPersonalCare, salesrank:reviewrank_authority:reviewrank:relevancerank:-price:price
KindleStore, daterank:reviewrank:-price:price:salesrank:relevancerank
Kitchen, reviewrank:-price:price:salesrank:relevancerank
LawnAndGarden, -price:price:salesrank:reviewrank:relevancerank
Music, orig-rel-date:titlerank:salesrank
PetSupplies, reviewrank:relevancerank:-titlerank:titlerank:-price:price:salesrank:+pmrank
Software, -daterank:titlerank:inverse-pricerank:pricerank:salesrank
SoftwareVideoGames, -daterank:titlerank:inverse-pricerank:pricerank:salesrank
VHS, titlerank:salesrank
Video, -titlerank:titlerank:salesrank
VideoGames, -titlerank:titlerank:inverse-pricerank:pricerank:salesrank
